IDEA,IDEAGEN PLC,BBG0035PYLV4
IDOX,IDOX PLC,BBG000BG0812
IBPO,IENERGIZER LTD,BBG0015LZ364
IFP,IFG GROUP PLC,BBG000MHFQF7
IGG,IG GROUP HOLDINGS PLC,BBG000PYLQK4
IGAS,IGAS ENERGY PLC,BBG000HYNLK2
IKA,ILIKA PLC,BBG000PYMN75
IGE,IMAGE SCAN HOLDINGS PLC,BBG000MV4RM8
IMTK,IMAGINATIK PLC,BBG000QJ6850
IMG,IMAGINATION TECH GROUP PLC,BBG000BD5JS1
IMI,IMI PLC,BBG000BDNBG1
IMO,IMIMOBILE PLC,BBG006MMKD66
IME,IMMEDIA GROUP PLC,BBG000DRT334
IDH,IMMUNODIAGNOSTIC SYSTEMS HLD,BBG000BHY3F9
IMM,IMMUPHARMA PLC,BBG000C01SG5
IHUK,IMPACT HOLDINGS UK PLC,BBG000DMZSP9
IPX,IMPAX ASSET MANAGEMENT GROUP,BBG000CW54R2
IPEL,IMPELLAM GROUP PLC,BBG000BT07G0
IVO,IMPERIAL INNOVATIONS GROUP P,BBG000PWFP27
IMT,IMPERIAL TOBACCO GROUP PLC,BBG000HH0JM7
IKK,INCH KENNETH KAJANG RUBBER,BBG000BNX839
INCH,INCHCAPE PLC,BBG000BDNDD0
INM,INDEPENDENT NEWS & MEDIA PLC,BBG000BDNH78
IOG,INDEPENDENT OIL & GAS PLC,BBG005C9PD09
IRG,INDEPENDENT RESOURCES PLC,BBG000BSKMH6
IND,INDIGOVISION GROUP PLC,BBG000C1HFS1
INDV,INDIVIOR PLC,BBG007K35KL2
INDI,INDUS GAS LTD,BBG000BNMXW4
INFI,INFINIS ENERGY PLC,BBG005JXSND0
INFT,INFINITY ENERGY SA,BBG000BVD9Q6
INF,INFORMA PLC,BBG000BLHQP7
INFA,INFRASTRATA PLC,BBG000V35M31
0943899D,INGENIOUS CLEAN ENERGY INCOM,BBG006T5R593
INL,INLAND HOMES PLC,BBG000CT5569
ISAT,INMARSAT PLC,BBG000C3M0Z6
IHC,INSPIRATION HEALTHCARE GROUP,BBG000LH0R71
INSE,INSPIRED ENERGY PLC,BBG00282QDH7
INSP,INSPIRIT ENERGY HOLDINGS PLC,BBG000CKYLY0
INS,INSTEM PLC,BBG001730MQ6
IDHC,INTEGRATED DIAGNOSTICS HOLDI,BBG007WXPFY8
IEH,INTELLIGENT ENERGY HOLDIN,BBG006QTXF04
INB,INTERBULK GROUP PLC,BBG000CC3JP7
IGP,INTERCEDE GROUP PLC,BBG000F6DGP2
IHG,INTERCONTINENTAL HOTELS GROU,BBG000C2C4D5
ICP,INTERMEDIATE CAPITAL GROUP,BBG000D8KQJ7
IFL,INTERNATIONAL FERRO METALS,BBG000GN5BW6
IGR,INTERNATIONAL GREETINGS PLC,BBG000FJTPB2
IPF,INTERNATIONAL PERSONAL FINAN,BBG000RG6DD5
INTQ,INTERNETQ PLC,BBG001B688V1
ITQ,INTERQUEST GROUP PLC,BBG000BMSN70
IRV,INTERSERVE PLC,BBG000CK4SS5
ITRK,INTERTEK GROUP PLC,BBG000D9L467
IBM,INTL BUSINESS MACHINES CORP,BBG000NP2WB3
IAG,INTL CONSOLIDATED AIRLINE-DI,BBG000C04GS5
INVP,INVESTEC PLC,BBG000C0TDQ7
IOF,IOFINA PLC,BBG000V6B160
IOM,IOMART GROUP PLC,BBG000BRG2S5
IPO,IP GROUP PLC,BBG000BT0B35
IPP,IPPLUS PLC,BBG000DK4577
IPSA,IPSA GROUP PLC,BBG000BSD073
IQE,IQE PLC,BBG000CP3NZ8
IRF,IRF EUROPEAN FINANCE INVESTM,BBG000JSZNB6
IRR,IRONRIDGE RESOURCES LTD,BBG0083BWY04
IRON,IRONVELD PLC,BBG000BC27G5
ISL,IS SOLUTIONS PLC,BBG000BTN3N6
ISG,ISG PLC,BBG000BNQX50
ITE,ITE GROUP PLC,BBG000BMMY90
IAE,ITHACA ENERGY INC,BBG000PKB0T3
ITM,ITM POWER PLC,BBG000PLNW54
ITV,ITV PLC,BBG000DW76R4
IXI,IXICO PLC,BBG000GM73F3
FSJ,JAMES FISHER & SONS PLC,BBG000BDJFL1
JHD,JAMES HALSTEAD PLC,BBG000BZ56T9
JRIC,JAPAN RESIDENTIAL INVESTMENT,BBG000PMZPY2
JLT,JARDINE LLOYD THOMPSON GROUP,BBG000BXXPQ4
JARJ,JARDINE MATHESON HLDGS LTD,BBG000M5Q2G3
JARB,JARDINE MATHESON HLDGS LTD,BBG000M68NW7
JAR,JARDINE MATHESON HLDGS LTD,BBG000BB3KC1
JDSB,JARDINE STRATEGIC HLDGS LTD,BBG000CYCVX3
88EI,JARDINE STRATEGIC HLDGS LTD,BBG0057K2LD3
JDS,JARDINE STRATEGIC HLDGS LTD,BBG000BHB532
JIM,JARVIS SECURITIES PLC,BBG000QPTV41
JWNG,JAYWING PLC,BBG000NDLS55
JD/,JD SPORTS FASHION PLC,BBG000HLFDZ1
JLF,JELF GROUP PLC,BBG000QBB227
JEL,JERSEY ELECTRICITY PLC,BBG000BDYF61
JOG,JERSEY OIL & GAS PLC,BBG001JZ5CJ7
