OCQLF,01 COMMUNIQUE LABORATORY INC,BBG000GGBTC7
ATTY,1-800-ATTORNEY INC,BBG000NX0XB6
FLWS,1-800-FLOWERS.COM INC-CL A,BBG000BBR9P6
TFSC,1347 CAPITAL CORP,BBG006G0NGC4
PIH,1347 PROPERTY INSURANCE HOLD,BBG005TNKXT0
ONCP,141 CAPITAL INC,BBG000DDMQ86
0955837D,1847 HOLDINGS LLC,BBG0061502D4
WFCL,1867 WESTERN FINANCIAL CORP,BBG000BR1HX2
ISOL,1MAGE SOFTWARE INC,BBG000BM7YK4
FISB,1ST CAPITAL BANK,BBG000RGMNG2
FCTY,1ST CENTURY BANCSHARES INC,BBG000M85N92
FCOB,1ST COLONIAL BANCORP INC,BBG000F4S9V0
FCCY,1ST CONSTITUTION BANCORP,BBG000BNBGF2
FENB,1ST ENTERPRISE BANK,BBG000PZ3JB7
FNRC,1ST NRG CORP,BBG000CDMDN9
FPWM,1ST PRESTIGE WEALTH MANAGEME,BBG000BCN5R4
SRCE,1ST SOURCE CORP,BBG000BTH4T5
FSMK,1ST SUMMIT BANCORP OF JOHNST,BBG000HF58V0
FUBC,1ST UNITED BANCORP INC/NORTH,BBG000QK0XG6
TWGL,20/20 GLOBAL INC,BBG000BFQ7L6
ETFM,2050 MOTORS INC,BBG000JKVRC7
ICC,21ST CENTURY ONCOLOGY HLDGS,BBG001XGGLQ3
XXII,22ND CENTURY GROUP INC,BBG000LS03D3
TWFH,24HOLDINGS INC,BBG000C261M8
CWGVF,2737469 CANADA INC,BBG000KRSDQ0
ZGBEF,2G ENERGY AG,BBG005NTYFD4
TWOU,2U INC,BBG001KS9450
DMTRF,3-D MATRIX LTD,BBG004PC11G6
TDCH,30DC INC,BBG000QM8QK4
TSIOF,361 DEGREES INTERNATIONAL,BBG000QJZVC9
HHHEF,37 CAPITAL INC,BBG000HY03K7
TCCC,3CI COMPLETE COMPLIANCE CORP,BBG000CR3JF5
TDEY,3D EYE SOLUTIONS INC,BBG000GT94W5
DPSM,3D PIONEER SYSTEMS INC,BBG003LT6L94
DDD,3D SYSTEMS CORP,BBG000D42FJ0
1039982D,3D TOTAL SOLUTIONS INC,BBG006TNVQJ2
TDCP,3DICON CORP,BBG000PPP0T7
THDS,3DSHOPPING.COM,BBG000MRX9S9
DDDX,3DX INDUSTRIES INC,BBG000C129N6
TGOPF,3I GROUP PLC,BBG000P9VNR8
MMM,3M CO,BBG000BP52R2
TPNL,3PEA INTERNATIONAL INC,BBG000BR52Q9
PSPW,3POWER ENERGY GROUP,BBG000BCCW42
WWRAF,3W POWER SA,BBG002137LP6
FDNU,4-D NEUROIMAGING,BBG000HLVNB7
FOOCF,401 HOLDINGS LTD,BBG000BSLJS0
CATV,4CABLE TV INTERNATIONAL INC,BBG000DJB8G6
0600695D,4G ENTERPRISES INC,BBG003BRLX50
FOUR,4LICENSING CORP,BBG003S0KG59
FNSI,4NET SOFTWARE INC,BBG000LPFFN5
FSCGF,4SC AG,BBG000SCVTT3
BARZ,5BARZ INTERNATIONAL INC,BBG000PVC312
FPLSF,5N PLUS INC,BBG000V26W30
ECSWF,6356095 CANADA INC,BBG000BSZNJ6
SIXD,6D GLOBAL TECHNOLOGIES INC,BBG000JWL932
SVNJ,727 COMMUNICATIONS INC,BBG000F1MM43
ETHG,800 COMMERCE INC,BBG001ZB2BD3
EIGH,8000 INC,BBG000RVPD78
RNWR,808 RENEWABLE ENERGY CORP,BBG0036XBGH8
EIHDF,888 HOLDINGS PLC,BBG000BFPVW2
EGHT,8X8 INC,BBG000BCGHH7
RGDCF,92 RESOURCES CORP,BBG001F4TF25
NNCT,99 CENT STUFF INC,BBG000BFRNB1
ACUG,A & C UNITED AGRICULTURE DEV,BBG002F037Y2
ANTQ,A A IMPORTING INC,BBG000BWSVZ9
0192789D,A BENBOW HOLDING INC,BBG002PQKML6
AQFD,A CLASSIFIED AD INC,BBG0073FB9K3
DRWN,A CLEAN SLATE INC,BBG000L58KQ3
APCDF,A-CAP RESOURCES LTD,BBG000K8HVX6
AMRK,A-MARK PRECIOUS METALS INC,BBG005ZVDK48
